id,key,filename,content_type,metadata,byte_size,checksum,created_at
28,TokDLbu94ntfTx5ZqW7Eu7Yq,DSC04032.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2883241,BMIAgBV//npTkYUk3T9IAQ==,2018-03-08 20:02:12.817101
27,BPxVCRxMHZ2ByDurMQtBBmv4,DSC04031.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2423428,uQE/OvoFWPhUAZ7zelxMfQ==,2018-03-08 20:02:12.797538
29,1CCZBoL2QiLypXg6UCjJymbo,DSC02382.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",1274843,Z9QfG58vncrNVTEohyv4pA==,2018-03-08 20:02:36.37565
30,g3YUPLDrZzyQKqw6seKuTCbh,DSC04766.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2468613,7mNu8uxnWDZWZQ44ED2ILA==,2018-03-08 20:02:58.860457
31,sGeCEnKMMScYqqroEs2PxT6g,DSC04767.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2383319,bn/h1yuMgzhSZSavB8jp8Q==,2018-03-08 20:02:58.877284
32,jMGKg83P8rAgHwaPZ1hy7f4c,DSC04788.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2352133,L3NvJVqpY46kdW7I4dEbmA==,2018-03-08 20:02:58.894145
34,ySLzMEusKAaqNcyQpagxBxwn,DSC05349.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2339748,R6YDpP59zP1I1mwtmx8PfQ==,2018-03-08 20:03:39.75686
33,NVv7CPUGoSjZ6adtyFfyBxbN,DSC05348.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2436448,9MSzDYz6kcK9zzjjljvQqg==,2018-03-08 20:03:39.739611
36,7iiVsLjmhWtHyz9gG5M2QKx2,DSC05358.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2826367,0jYHqaPPz+iYTO5PTSt6YQ==,2018-03-08 20:03:39.793204
35,2t7z13ZmCfc7zHuG7WEuZmHe,DSC05357.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2403950,1xyZYHM/PZaorwTXYv1nfQ==,2018-03-08 20:03:39.773913
39,4JQXGR9dgQ1RUojwgkNbV7mF,DSC00967.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2412523,FDg1brpVVs1K5lYZU+egKA==,2018-03-08 20:04:17.068839
40,vWULnvBqdBsBZE3awqagCxP2,DSC00968.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2853953,meOPr74yHazeaAvBtxvuDA==,2018-03-08 20:04:17.091653
41,EUE5fU5nenkCYbxYwdBG9vS2,DSC00969.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2395525,GQYmqD/hV3LfPl+P2n6GrA==,2018-03-08 20:04:17.108464
42,ZguYRbN69ty4ioWwVHgoTjkM,DSC00970.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2459324,sI6fQjvNs4um6E+nTocVJA==,2018-03-08 20:04:17.127585
43,dw7UfbR4RBBe6wBPGECnmteL,DSC00971.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2415300,Z1K8Arq7qOd1bJ35t9T+vQ==,2018-03-08 20:04:17.145083
312,DnxHhpyHCUoVyRpiKgKW8WYR,DSC01001.JPG,image/jpeg,"{""identified"":true,""width"":2592,""height"":1944,""analyzed"":true}",2814599,NCvQQ/FC887E7CHD4tu6Xw==,2018-03-08 21:30:39.53737
